id,created_at,updated_at,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,2015-10-26 00:54:48.752380,2015-10-26 00:54:48.752380,1,1,Bronzeville/Union Station,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=158,,
2,2015-10-26 00:54:48.759188,2015-10-26 00:54:48.759188,2,2,Hyde Park Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=159,,
3,2015-10-26 00:54:48.762863,2015-10-26 00:54:48.762863,3,3,King Drive,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=160,,
4,2015-10-26 00:54:48.766321,2015-10-26 00:54:48.766321,4,4,Cottage Grove,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=162,,
5,2015-10-26 00:54:48.770143,2015-10-26 00:54:48.770143,5,5,South Shore Night Bus,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=164,,
6,2015-10-26 00:54:48.773655,2015-10-26 00:54:48.773655,6,6,Jackson Park Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=165,,
7,2015-10-26 00:54:48.778539,2015-10-26 00:54:48.778539,7,7,Harrison,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=166,,
8,2015-10-26 00:54:48.782921,2015-10-26 00:54:48.782921,8,8,Halsted,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=167,,
9,2015-10-26 00:54:48.787748,2015-10-26 00:54:48.787748,8A,8A,South Halsted,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=168,,
10,2015-10-26 00:54:48.793624,2015-10-26 00:54:48.793624,9,9,Ashland,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=169,,
11,2015-10-26 00:54:48.798576,2015-10-26 00:54:48.798576,10,10,Museum of S & I,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=171,,
12,2015-10-26 00:54:48.804573,2015-10-26 00:54:48.804573,11,11,Lincoln,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=172,,
13,2015-10-26 00:54:48.808355,2015-10-26 00:54:48.808355,12,12,Roosevelt,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=173,,
14,2015-10-26 00:54:48.812609,2015-10-26 00:54:48.812609,J14,J14,Jeffery Jump,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=174,,
15,2015-10-26 00:54:48.816353,2015-10-26 00:54:48.816353,15,15,Jeffery Local,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=175,,
16,2015-10-26 00:54:48.820379,2015-10-26 00:54:48.820379,18,18,16th-18th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=177,,
17,2015-10-26 00:54:48.824827,2015-10-26 00:54:48.824827,20,20,Madison,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=178,,
18,2015-10-26 00:54:48.828958,2015-10-26 00:54:48.828958,21,21,Cermak,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=180,,
19,2015-10-26 00:54:48.832644,2015-10-26 00:54:48.832644,22,22,Clark,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=181,,
20,2015-10-26 00:54:48.835972,2015-10-26 00:54:48.835972,24,24,Wentworth,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=182,,
21,2015-10-26 00:54:48.839183,2015-10-26 00:54:48.839183,26,26,South Shore Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=183,,
22,2015-10-26 00:54:48.842184,2015-10-26 00:54:48.842184,28,28,Stony Island,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=184,,
23,2015-10-26 00:54:48.846195,2015-10-26 00:54:48.846195,29,29,State,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=186,,
24,2015-10-26 00:54:48.850577,2015-10-26 00:54:48.850577,30,30,South Chicago,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=187,,
25,2015-10-26 00:54:48.854878,2015-10-26 00:54:48.854878,34,34,South Michigan,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=189,,
26,2015-10-26 00:54:48.861699,2015-10-26 00:54:48.861699,35,35,35th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=190,,
27,2015-10-26 00:54:48.868127,2015-10-26 00:54:48.868127,36,36,Broadway,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=191,,
28,2015-10-26 00:54:48.871803,2015-10-26 00:54:48.871803,37,37,Sedgwick,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=335,,
29,2015-10-26 00:54:48.875509,2015-10-26 00:54:48.875509,39,39,Pershing,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=193,,
30,2015-10-26 00:54:48.879543,2015-10-26 00:54:48.879543,43,43,43rd,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=194,,
31,2015-10-26 00:54:48.883001,2015-10-26 00:54:48.883001,44,44,Wallace-Racine,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=195,,
32,2015-10-26 00:54:48.886063,2015-10-26 00:54:48.886063,47,47,47th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=196,,
33,2015-10-26 00:54:48.888798,2015-10-26 00:54:48.888798,48,48,South Damen,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=197,,
34,2015-10-26 00:54:48.891478,2015-10-26 00:54:48.891478,49,49,Western,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=198,,
35,2015-10-26 00:54:48.894171,2015-10-26 00:54:48.894171,49B,49B,North Western,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=200,,
36,2015-10-26 00:54:48.897116,2015-10-26 00:54:48.897116,50,50,Damen,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=202,,
37,2015-10-26 00:54:48.899994,2015-10-26 00:54:48.899994,51,51,51st,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=203,,
38,2015-10-26 00:54:48.902784,2015-10-26 00:54:48.902784,52,52,Kedzie/California,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=204,,
39,2015-10-26 00:54:48.905572,2015-10-26 00:54:48.905572,52A,52A,South Kedzie,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=205,,
40,2015-10-26 00:54:48.908419,2015-10-26 00:54:48.908419,53,53,Pulaski,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=206,,
41,2015-10-26 00:54:48.911195,2015-10-26 00:54:48.911195,53A,53A,South Pulaski,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=207,,
42,2015-10-26 00:54:48.913928,2015-10-26 00:54:48.913928,54,54,Cicero,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=209,,
43,2015-10-26 00:54:48.916681,2015-10-26 00:54:48.916681,54A,54A,North Cicero/Skokie Blvd.,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=210,,
44,2015-10-26 00:54:48.919463,2015-10-26 00:54:48.919463,54B,54B,South Cicero,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=211,,
45,2015-10-26 00:54:48.922238,2015-10-26 00:54:48.922238,55,55,Garfield,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=213,,
46,2015-10-26 00:54:48.925316,2015-10-26 00:54:48.925316,55A,55A,55th/Austin,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=214,,
47,2015-10-26 00:54:48.928018,2015-10-26 00:54:48.928018,55N,55N,55th/Narragansett,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=215,,
48,2015-10-26 00:54:48.930873,2015-10-26 00:54:48.930873,56,56,Milwaukee,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=217,,
49,2015-10-26 00:54:48.933685,2015-10-26 00:54:48.933685,57,57,Laramie,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=219,,
50,2015-10-26 00:54:48.936195,2015-10-26 00:54:48.936195,59,59,59th/61st,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=220,,
51,2015-10-26 00:54:48.939001,2015-10-26 00:54:48.939001,60,60,Blue Island/26th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=221,,
52,2015-10-26 00:54:48.941904,2015-10-26 00:54:48.941904,62,62,Archer,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=222,,
53,2015-10-26 00:54:48.944857,2015-10-26 00:54:48.944857,62H,62H,Archer/Harlem,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=223,,
54,2015-10-26 00:54:48.948210,2015-10-26 00:54:48.948210,63,63,63rd,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=224,,
55,2015-10-26 00:54:48.951035,2015-10-26 00:54:48.951035,63W,63W,West 63rd,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=225,,
56,2015-10-26 00:54:48.953899,2015-10-26 00:54:48.953899,65,65,Grand,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=227,,
57,2015-10-26 00:54:48.956735,2015-10-26 00:54:48.956735,66,66,Chicago,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=228,,
58,2015-10-26 00:54:48.959754,2015-10-26 00:54:48.959754,67,67,67th-69th-71st,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=229,,
59,2015-10-26 00:54:48.962656,2015-10-26 00:54:48.962656,68,68,Northwest Highway,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=230,,
60,2015-10-26 00:54:48.966219,2015-10-26 00:54:48.966219,70,70,Division,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=232,,
61,2015-10-26 00:54:48.969404,2015-10-26 00:54:48.969404,71,71,71st South Shore,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=233,,
62,2015-10-26 00:54:48.972371,2015-10-26 00:54:48.972371,72,72,North,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=234,,
